3291871McRinn         Christabel120190301100000000058402000092846000915346
3163802Achromov       Bambie    320200115100000000061102000067056000961691
6464755Matveyev       Nessy     320200315075000000074302000022389000992650
0536691Floris         Dorella   320180601100000000050501000065369000138386
6184974Pringle        Arley     320200201100000000056402000098152000784926
0150860MacKowle       Eleonore  120191015075000000044202000061047000045826
0014181Lagen          Valaria   220200815100000000040302000063182000350010
2446864Partleton      Omar      220200901075000000081802000066764000856015
8633426Muff           Hobey     320181001075000000060202000071516000828089
3275726Smails         Ferdy     120180801100000000050802000054148000734880
6591290Widocks        Tatiania  320180415100000000035402000011936000820355
1343703Hardes         Guthry    220200501100000000067802000067262000347107
8524174Kencott        Kay       120180615075000000025601000028311000887230
2668549Tabb           Ardisj    320200301075000000010202000086866000990535
3820260Linkie         Fanni     320180301075000000062701000031216000128895
0564119Mummery        Kerrill   120200101100000000037401000017900000771531
5727447Aronovich      Panchito  120201201100000000019901000090258000118044
7271942Twiname        Koenraad  320200901075000000098001000065124000354053
3662707Doone          Harcourt  220180101100000000084502000085534000183053
0248347Clew           Rogers    320200501075000000021402000062922000086919
3297692Dain           Husein    220200115075000000049302000038358000408701
8190276Marsh          Armand    120200415100000000029501000029869000267709
0278835Jiggle         Rem       320181115075000000032902000034645000283210
3176592Apple          Aldwin    120190901075000000067401000053637000955671
1532115Skamal         Gwenni    220200515075000000016301000061487000836519
5181830Beardsdale     Don       320190901075000000077102000065586000236373
0499062Earengey       Daphene   320180615100000000043502000008969000544626
6228732Coghlan        Melodee   320191101075000000012602000031640000723417
7297111Venard         Auguste   220201001100000000026102000081918000024491
1375091Lyal           Catherina 120200301100000000015402000088382000320593
8734722Schooley       Suzann    320190101100000000004001000003456000164917
1300907Gripton        Carroll   220200315100000000003501000066929000875563
3716233Juszczyk       Vaclav    120190315100000000040902000054875000706687
5407985Gehrts         Selby     120190515075000000007202000039922000022352
4656074Greathead      Ivy       120190601100000000086301000023833000676300
8159449Passion        Xever     220201115100000000087702000066954000189362
4325685Harman         Koral     120180901100000000090702000015900000521419
